A0_EV	A1_EV	A2_EV	DBCO	Stroke	T_EV
Gm38053	7.64759865402264e-05	0	0	0	0	0
ENSMUSG00002076339	0	0	0	0	0	0
Gm37246	0.000382379932701132	3	0.000205592105263158	0.00524425287356322	0.00445224807173763	0.00260904468825261
Mettl21c	0	3	0.000205592105263158	0.00158045977011494	0.0018185238602872	0.000468290072250468
Gm37490	0.00833588253288467	96	0.00774396929824561	0.0684626436781609	0.0657176898476202	0.0638212469895638
Gm15423	0	0	0	0.00028735632183908	0.000125415438640497	0.000133797163500134
Gm15838	0	0	0	0	0	0
Gm37519	0.00504741511165494	80	0.00548245614035088	0.0358477011494253	0.0331723835204114	0.0352555525822853
Gm8251	0.0011471397981034	10	0.00130208333333333	0.0104166666666667	0.01009594281056	0.0088975113727589
Niban1	0.0303609666564699	452	0.0338541666666667	0.152370689655172	0.11368909512761	0.193938988493444
2810414N06Rik	0.00443560721933313	48	0.00233004385964912	0.00883620689655172	0.00658431052862607	0.01003478726251
Gm15182	0	0	0	0	0	0
Gm5257	0	2	0.000205592105263158	7.18390804597701e-05	0.000125415438640497	0.000200695745250201
Gm29065	0	0	0	0	0	0
Gm29068	0	0	0	0	0	0
Gm29069	0	0	0	0	0	0
Gm17751	0	0	0	7.18390804597701e-05	0.000125415438640497	0
Mir6343	0	0	0	0	0	0
Gm816	0	3	0	0.00158045977011494	0.00150498526368596	0.00220765319775221
Gm38265	0	0	0	0	6.27077193202483e-05	0
5S-rRNA	0	0	0	0	0	0
Akt3	0.0313551544814928	342	0.0232319078947368	0.0778735632183908	0.0825233586254468	0.075996788868076
Gm37960	0.000994187825022943	10	0.00116502192982456	0.0091235632183908	0.00796388035367154	0.00762643831950763
Gm37106	0.00175894769042521	34	0.00315241228070175	0.0181034482758621	0.0196275161472377	0.0185978057265186
Gm37598	0.004053227286632	38	0.00431743421052632	0.0327586206896552	0.0299742898350787	0.0321782178217822
Gm38146	0.000917711838482716	10	0.00150767543859649	0.00739942528735632	0.00696055684454756	0.00495049504950495
Gm37706	0.00604160293667788	67	0.00740131578947368	0.0457614942528736	0.0434564494889321	0.0462269199892962
Gm37463	7.64759865402264e-05	1	0.000137061403508772	0.00732758620689655	0.0054555715808616	0.00321113192400321
Gm38328	0	0	0	0	0	6.68985817500669e-05
Gm26801	0.000688283878862037	7	0.000548245614035088	0.00301724137931034	0.00401329403649589	0.00301043617875301
Zbtb18	0.0602630773936984	834	0.0623629385964912	0.348060344827586	0.386216843293409	0.307064490232807
Gm29856	7.64759865402264e-05	1	0	0.000359195402298851	0.000125415438640497	0
Gm37306	0.00305903946160905	33	0.0029468201754386	0.0228448275862069	0.0232645638678121	0.0232807064490233
Gm37280	0	0	0	0	0	0
Tex30	0.0725757112266748	1252	0.0561266447368421	0.080316091954023	0.0731799084467298	0.0759298902863259
Gm37858	0	0	0	0	6.27077193202483e-05	0
2310043L19Rik	7.64759865402264e-05	3	0.00034265350877193	0.00028735632183908	0.000125415438640497	6.68985817500669e-05
Edem3	0.02026613643316	255	0.0194627192982456	0.0923132183908046	0.0885432996801906	0.0896440995450896
Gm29247	0	0	0	0	0	0
1700016C15Rik	0.00107066381156317	25	0.000548245614035088	0.0014367816091954	0.00106603122844422	0.000735884399250736
1700025G04Rik	0.0411440807586418	519	0.0328262061403509	0.0806752873563218	0.0805794193265191	0.0992774953170993
Gm25279	0	0	0	0	0	0
Gm28610	0	0	0	0	0	0
Gm8964	0	0	0	0	0	0
Gm38238	0.000152951973080453	0	0	0.00014367816091954	0.000313538596601242	0.000133797163500134
Adss	0.0863413888039156	1300	0.0881990131578947	0.276508620689655	0.24499905938421	0.281843724913032
Gm16585	0.000229427959620679	1	0.000479714912280702	0.00732758620689655	0.00733680316046905	0.00441530639550442
Catspere1	0	0	0	7.18390804597701e-05	6.27077193202483e-05	6.68985817500669e-05
Tsen15	0.0744111349036403	1171	0.069421600877193	0.0844827586206897	0.0883551765222299	0.0856970832218357
Epha4	0.0333435301315387	283	0.0364583333333333	0.153448275862069	0.187245249890261	0.173668718223174
Mir6352	0	0	0	0	0	0
Colgalt2	0.0069593147751606	57	0.00561951754385965	0.0170258620689655	0.0237662256223741	0.0143831950762644
Gm28386	0	1	0	7.18390804597701e-05	0.00037624631592149	0.000334492908750335
Gm28385	0	0	0	0	0	0
Gm26263	0	0	0	0	0	0
Gm28387	0	0	0	0	0	0
Poglut2	0.0163658611196084	230	0.0141173245614035	0.0357040229885057	0.0370602621182668	0.032044420658282
Btf3-ps14	0	1	0	0.00021551724137931	0	0
