GeneSym	17-002	17-006	17-019	17-023	17-026	17-027	17-030	17-034	17-040	17-041	17-042	17-043	17-045	17-047	17-054	17-055	17-057	17-058	17-060	17-061
ABCA8	21.85664411	22.31589866	27.28431654	23.10286713	22.47111801	22.94328397	25.45716748	22.94328397	23.91758798	24.25146506	25.28132198	23.75237713	23.10286713	22.31589866	21.70566924	20.82146969	19.69831061	24.42014734	22.627417	28.4429658
ABCA9	23.26356028	31.12495832	30.2738447	40.22442798	21.40684088	29.24260641	26.35491255	27.85761803	25.8125363	27.28431654	28.4429658	30.06472797	28.8400148	22.16175149	29.44600482	25.10669113	32.2225776	45.88656794	25.63423608	21.40684088
ABCB1	44.32350298	41.35529058	49.8665331	22.78480313	46.52712055	26.90868529	32.67238802	35.26096371	47.83517596	37.53071838	27.47409397	45.56960626	45.88656794	54.19169999	41.64293937	37.53071838	44.63179732	32.44670335	24.5900029	42.22425314
ABCB10	36.25228433	30.48441594	44.32350298	26.90868529	33.59093388	73.00887782	52.70982511	60.12945595	29.65081798	54.94818793	42.81368175	60.12945595	55.3303828	64.89340671	45.56960626	46.20573426	50.21338227	56.10276616	41.06962872	53.07645093
ABCB11	22.31589866	29.44600482	20.96629446	28.4429658	24.93326655	22.16175149	25.28132198	23.75237713	24.5900029	24.25146506	25.8125363	24.7610399	25.10669113	42.51794605	24.42014734	24.5900029	24.93326655	25.10669113	28.24649588	26.53822547
ABCB4	24.42014734	30.2738447	31.55944654	26.90868529	21.11212657	30.48441594	23.91758798	23.26356028	26.53822547	21.85664411	19.8353232	22.78480313	35.01739844	26.90868529	24.42014734	28.64080227	30.69645182	20.53481436	27.28431654	29.44600482
ABCB5	18.76535919	20.53481436	20.11221399	22.31589866	19.56224444	18.76535919	20.2521055	19.56224444	19.15965927	19.02731384	20.2521055	19.42711815	19.02731384	19.29292524	20.11221399	19.97328878	18.76535919	19.29292524	19.15965927	19.69831061
ABCB6	27.28431654	30.69645182	28.24649588	39.6706464	23.91758798	24.93326655	29.44600482	24.93326655	31.55944654	32.67238802	31.12495832	29.24260641	25.99207668	30.06472797	30.48441594	31.55944654	27.28431654	27.6651914	34.2967508	25.45716748
ABCB7	41.64293937	30.69645182	44.32350298	35.75318842	23.58830748	42.51794605	34.2967508	46.85074227	35.75318842	57.28160454	24.7610399	51.26847217	52.70982511	56.49299176	49.8665331	40.22442798	45.56960626	33.35890435	47.17661495	54.56863307
ABCB8	26.72281342	20.67764529	22.94328397	22.47111801	29.44600482	26.17286587	25.10669113	22.78480313	23.91758798	22.627417	22.16175149	22.31589866	25.28132198	20.82146969	22.78480313	23.26356028	22.16175149	24.7610399	21.11212657	23.26356028
ABCB9	22.627417	28.8400148	29.65081798	29.44600482	22.31589866	26.53822547	37.79176517	32	31.55944654	29.85705573	28.05138308	27.09585	33.12847756	36.00187151	30.2738447	30.06472797	25.99207668	25.8125363	27.6651914	28.24649588
ABCC1	26.17286587	24.7610399	29.85705573	23.75237713	25.63423608	24.5900029	27.85761803	20.96629446	23.42537114	25.99207668	30.48441594	22.627417	23.58830748	27.47409397	22.47111801	28.8400148	22.00866909	22.16175149	21.40684088	21.11212657
ABCC10	22.16175149	20.2521055	24.5900029	35.01739844	20.11221399	21.25897303	33.8245773	28.4429658	22.78480313	19.97328878	24.25146506	24.5900029	25.63423608	21.85664411	22.94328397	21.40684088	24.42014734	20.82146969	19.97328878	22.00866909
ABCC11	27.6651914	22.00866909	21.11212657	25.28132198	23.26356028	21.85664411	25.99207668	20.82146969	22.94328397	25.8125363	21.40684088	23.42537114	22.47111801	31.12495832	28.24649588	26.53822547	26.90868529	24.25146506	23.10286713	22.31589866
ABCC12	19.56224444	19.8353232	20.53481436	21.70566924	20.53481436	20.11221399	20.53481436	21.25897303	19.56224444	19.29292524	21.55573723	20.11221399	19.8353232	19.29292524	19.69831061	20.2521055	19.69831061	19.56224444	19.97328878	20.96629446
ABCC13	27.6651914	29.65081798	22.16175149	34.53530357	35.01739844	24.5900029	22.94328397	25.8125363	33.35890435	24.25146506	28.05138308	27.28431654	31.77895985	24.08394796	22.47111801	26.90868529	22.78480313	23.10286713	25.45716748	21.70566924
ABCC2	19.56224444	21.25897303	19.29292524	19.42711815	20.96629446	21.11212657	20.67764529	24.7610399	20.96629446	19.42711815	19.56224444	22.47111801	20.39297004	19.8353232	20.11221399	21.40684088	21.40684088	19.15965927	19.97328878	19.97328878
ABCC3	88.64700596	26.72281342	42.81368175	47.83517596	30.2738447	32.67238802	29.85705573	71.50637684	65.34477605	34.53530357	38.05462768	59.71411146	46.52712055	51.62507259	31.77895985	40.78594007	27.47409397	30.06472797	53.07645093	33.12847756
ABCC4	21.85664411	28.05138308	30.48441594	21.55573723	24.25146506	23.26356028	22.94328397	23.26356028	23.91758798	30.69645182	22.31589866	36.00187151	25.8125363	33.8245773	27.09585	29.85705573	33.59093388	22.94328397	29.65081798	39.94657756
